month,category,value
2022-01-01,Military Aid Allocated,1.528544601
2022-02-01,Military Aid Allocated,2.549664522
2022-03-01,Military Aid Allocated,4.574315686
2022-04-01,Military Aid Allocated,10.24583551
2022-05-01,Military Aid Allocated,11.54947736
2022-06-01,Military Aid Allocated,16.97261492
2022-07-01,Military Aid Allocated,19.2118644
2022-08-01,Military Aid Allocated,25.6091108
2022-09-01,Military Aid Allocated,28.99553254
2022-10-01,Military Aid Allocated,31.84394808
2022-11-01,Military Aid Allocated,35.66637146
2022-12-01,Military Aid Allocated,38.98120949
2023-01-01,Military Aid Allocated,49.25861589
2023-02-01,Military Aid Allocated,55.1311842
2023-03-01,Military Aid Allocated,57.98194595
2023-04-01,Military Aid Allocated,61.87686922
2023-05-01,Military Aid Allocated,67.33237167
2023-06-01,Military Aid Allocated,71.18359962
2023-07-01,Military Aid Allocated,74.66638909
2023-08-01,Military Aid Allocated,77.53758047
2023-09-01,Military Aid Allocated,80.0235593
2023-10-01,Military Aid Allocated,81.50798346
2023-11-01,Military Aid Allocated,82.20403406
2023-12-01,Military Aid Allocated,85.51735394
2024-01-01,Military Aid Allocated,87.36113933
2024-02-01,Military Aid Allocated,90.29558206
2024-03-01,Military Aid Allocated,92.38231545
2024-04-01,Military Aid Allocated,101.4196672
2024-05-01,Military Aid Allocated,103.9768936
2024-06-01,Military Aid Allocated,106.3910789
2024-07-01,Military Aid Allocated,111.6878283
2024-08-01,Military Aid Allocated,112.0696743
2024-09-01,Military Aid Allocated,116.5044719
2024-10-01,Military Aid Allocated,119.7960359
2024-11-01,Military Aid Allocated,121.1095196
2024-12-01,Military Aid Allocated,126.5491283
2025-01-01,Military Aid Allocated,129.4278156
2025-02-01,Military Aid Allocated,130.3119003
2025-03-01,Military Aid Allocated,137.2588513
2025-04-01,Military Aid Allocated,140.3090739
2025-05-01,Military Aid Allocated,146.796021
2025-06-01,Military Aid Allocated,149.8633735
2025-07-01,Military Aid Allocated,150.948113
2025-08-01,Military Aid Allocated,154.3822157
2025-09-01,Military Aid Allocated,155.5269508
2025-10-01,Military Aid Allocated,158.7013679
2025-11-01,Military Aid Allocated,159.7099829
2025-12-01,Military Aid Allocated,162.4900058
